truckingcompanyid,productid,distanceinmiles,fuelcost,linehaulcost,source,destination,lhcpermile,fuelpermile,tot_cost,agg
4016,4,1167.84,5.28,93.46,Charlotte,Las Vegas,0.08002808603918345,0.004521167283189478,0.08454925332237292,1
1328,19,1167.84,5.98,73.55,Charlotte,Las Vegas,0.06297951774215646,0.005120564460885053,0.0681000822030415,1
1755,14,1167.84,5.65,292.61,Charlotte,Las Vegas,0.2505565830935745,0.004837991505685711,0.2553945745992602,1
1001,21,1167.84,5.67,226.86,Charlotte,Las Vegas,0.19425606247431157,0.004855117139334155,0.19911117961364572,1
6111,4,1167.84,6.71,137.91,Charlotte,Las Vegas,0.11808980682285244,0.005745650089053296,0.12383545691190574,1
7561,22,1167.84,5.97,743.56,Charlotte,Las Vegas,0.636696807781888,0.00511200164406083,0.6418088094259488,1
2726,12,1167.84,4.99,160.42,Charlotte,Las Vegas,0.13736470749417728,0.004272845595287026,0.14163755308946432,1
4417,20,1167.84,6.42,432.82,Charlotte,Las Vegas,0.3706158377859981,0.005497328401150843,0.37611316618714896,1
4551,11,1167.84,6.67,403.63,Charlotte,Las Vegas,0.34562097547609266,0.0057113988217564055,0.3513323742978491,1
7550,11,1167.84,5.28,315.28,Charlotte,Las Vegas,0.26996848883408686,0.004521167283189478,0.2744896561172763,1
9888,21,1167.84,6.44,873.48,Charlotte,Las Vegas,0.7479449239621867,0.005514454034799289,0.753459377996986,1
2160,15,1167.84,6.27,425.63,Charlotte,Las Vegas,0.36445917248938214,0.0053688861487875056,0.36982805863816964,1
9839,13,1167.84,4.18,322.02,Charlotte,Las Vegas,0.2757398273736128,0.0035792574325250034,0.2793190848061378,1
4928,9,1167.84,6.71,1042.41,Charlotte,Las Vegas,0.8925965885737773,0.005745650089053296,0.8983422386628306,1
5505,19,1167.84,6.55,619.88,Charlotte,Las Vegas,0.5307918892999042,0.005608645019865736,0.5364005343197699,1
5367,22,1167.84,6.68,330.03,Charlotte,Las Vegas,0.282598643649815,0.005719961638580628,0.28831860528839565,1
