truckingcompanyid,productid,distanceinmiles,fuelcost,linehaulcost,source,destination
5748,15,681.24,6.28,639.72,Atlanta,Virginia Beach
6660,9,973.2,6.07,779.22,Albuquerque,Miami
7709,2,2433.0,5.43,170.2,Milwaukee,Philadelphia
6491,16,2822.28,6.91,49.17,New Orleans,Boston
6036,4,2335.68,5.13,154.62,Minneapolis,El Paso
5367,14,1849.08,5.3,249.62,Oakland,Portland
9127,13,681.24,6.32,871.55,Indianapolis,San Jose
8072,8,1654.44,4.0,196.58,Raleigh,Detroit
2147,16,1557.12,6.3,194.99,Seattle,Fresno
4130,18,1849.08,6.38,89.53,Milwaukee,New Orleans
3020,5,2919.6,6.86,61.75,Charlotte,Oakland
2637,16,2335.68,5.08,348.33,Detroit,Tampa
4943,9,583.92,4.6,385.99,Albuquerque,Portland
7867,22,583.92,5.69,938.1,Phoenix,Austin
1420,11,2822.28,6.51,117.06,Raleigh,Jacksonville
8553,22,778.56,5.25,458.04,Albuquerque,Omaha
2683,6,1751.76,4.99,113.25,New Orleans,Albuquerque
9046,2,778.56,5.09,180.66,Atlanta,Louisville
8851,23,2335.68,5.2,181.65,Omaha,San Francisco
1106,10,1167.84,7.55,164.16,Milwaukee,Long Beach
5974,24,3308.88,5.32,609.96,Omaha,Philadelphia
9286,14,778.56,4.43,508.97,Louisville,Boston
4843,12,194.64,7.0,1797.65,Charlotte,Fort Worth
9445,10,291.96,5.55,5068.75,Seattle,Charlotte
6083,7,681.24,5.06,371.34,Oklahoma City,Seattle
8048,11,97.32,4.25,6858.59,Indianapolis,Seattle
8700,13,583.92,2.91,830.16,Tampa,Miami
6574,10,1459.8,4.8,402.81,Raleigh,Portland
7666,6,973.2,5.11,664.13,Columbus,Houston
6800,20,291.96,4.75,846.45,Miami,Colorado Springs
2301,6,681.24,6.81,214.32,Austin,Seattle
7432,5,97.32,4.45,15250.54,Mesa,Fresno
9157,13,3698.16,5.06,177.68,Arlington,Austin
7145,17,4671.36,5.41,204.35,New Orleans,Los Angeles
8598,6,4282.08,5.19,208.37,Chicago,Tulsa
9893,17,1265.16,7.19,298.6,Oakland,Albuquerque
1430,15,1459.8,5.8,516.36,Denver,Houston
5460,6,583.92,7.01,643.64,Oakland,Colorado Springs
5116,16,2141.04,4.78,586.14,Louisville,San Antonio
4783,21,1557.12,5.42,89.86,Dallas,Oklahoma City
8899,18,3308.88,6.48,625.94,Kansas City,Houston
2959,3,2627.64,5.55,213.12,San Diego,Mesa
9076,10,1849.08,5.34,462.51,Phoenix,Detroit
4984,17,3600.84,5.31,103.54,Jacksonville,Arlington
2850,5,1654.44,6.24,186.77,Washington,Atlanta
4504,22,291.96,5.38,1880.69,Virginia Beach,Tulsa
1206,12,1265.16,5.96,136.82,Atlanta,Detroit
8587,10,1557.12,4.61,238.93,Atlanta,Boston
7519,7,2919.6,3.98,71.93,Sacramento,Philadelphia
5381,14,1654.44,4.0,329.92,Indianapolis,Fresno
1618,19,875.88,6.42,586.6,San Jose,Denver
8185,17,4476.72,5.61,237.14,New Orleans,Houston
6328,10,778.56,6.76,169.6,Seattle,Portland
1832,14,1654.44,4.65,200.53,Columbus,Milwaukee
6264,23,291.96,5.86,2044.92,Las Vegas,Baltimore
7897,17,194.64,5.49,1120.71,Oklahoma City,Las Vegas
5472,20,97.32,7.44,2307.84,Tampa,Tulsa
5520,19,389.28,3.9,569.33,Tulsa,Long Beach
8750,12,194.64,5.23,2508.96,Louisville,Las Vegas
7769,24,2530.32,5.36,429.76,Indianapolis,Long Beach
9101,15,973.2,6.14,599.98,Tulsa,Atlanta
9806,8,2724.96,5.68,83.31,Columbus,Miami
5118,10,681.24,4.51,1080.47,Nashville,Baltimore
5566,9,1459.8,6.07,426.67,Oklahoma City,San Jose
8498,4,1849.08,5.88,824.71,Tampa,Louisville
9950,13,2043.72,6.03,41.77,Oklahoma City,Minneapolis
2612,24,778.56,5.72,178.97,Baltimore,Kansas City
4677,10,1265.16,5.41,790.65,Tampa,Mesa
8247,17,194.64,5.06,6125.12,Boston,Nashville
4901,16,486.6,4.72,668.33,Austin,Philadelphia
2375,12,681.24,6.93,978.87,Colorado Springs,Minneapolis
6147,21,3211.56,6.02,145.1,Colorado Springs,Philadelphia
9612,2,2530.32,6.65,48.35,Mesa,Dallas
9775,20,291.96,6.0,4507.53,Minneapolis,Arlington
6042,22,1167.84,5.9,282.34,Phoenix,Indianapolis
9713,24,4282.08,4.94,37.67,Arlington,Phoenix
3382,13,2530.32,5.04,45.21,Atlanta,Austin
8514,8,97.32,6.57,3438.65,Oakland,Virginia Beach
8697,20,2627.64,4.37,254.17,Columbus,Raleigh
5180,1,291.96,3.52,876.95,Baltimore,Las Vegas
6372,3,1265.16,5.11,83.57,Detroit,Austin
1879,14,973.2,5.06,158.62,Omaha,New Orleans
8279,24,3795.48,4.44,92.58,Phoenix,Virginia Beach
7226,12,3211.56,4.72,89.12,San Antonio,Omaha
1194,3,2822.28,5.17,74.3,Seattle,Tulsa
4718,14,486.6,6.45,526.54,Jacksonville,Indianapolis
5975,11,291.96,8.22,635.25,San Jose,Fort Worth
7849,4,583.92,5.97,594.93,Kansas City,Virginia Beach
1638,23,2433.0,6.22,116.33,Los Angeles,Las Vegas
2164,9,486.6,4.9,3169.61,Baltimore,Mesa
1576,3,291.96,4.11,2396.34,Austin,Columbus
4994,10,1362.48,6.64,330.33,Memphis,Columbus
7654,14,1654.44,4.8,249.29,Phoenix,El Paso
6699,5,486.6,4.87,1354.58,Philadelphia,Austin
8391,4,1265.16,5.14,448.03,Nashville,San Jose
2854,11,1362.48,5.79,594.6,Kansas City,Detroit
8399,8,973.2,3.68,251.95,Colorado Springs,Arlington
6250,15,2238.36,5.87,162.63,San Diego,Milwaukee
1390,21,583.92,4.58,355.3,Austin,Phoenix
3069,19,3990.12,4.04,234.05,Tampa,San Antonio
3436,8,778.56,5.3,116.19,San Diego,San Francisco
1234,21,1557.12,5.2,607.74,Austin,Las Vegas
5792,13,3308.88,5.0,83.14,San Diego,Miami
7898,6,194.64,6.24,9127.26,Minneapolis,Tampa
6454,8,583.92,5.34,174.52,Long Beach,Arlington
2163,12,291.96,4.18,2021.29,Washington,Indianapolis
6237,7,194.64,4.38,317.8,Boston,Nashville
4446,11,2822.28,5.76,240.55,Milwaukee,Los Angeles
8194,21,1654.44,5.49,325.92,Portland,Long Beach
8306,24,1849.08,6.94,263.5,Albuquerque,Fort Worth
4281,23,1751.76,6.33,292.07,Philadelphia,Detroit
4930,6,1849.08,4.12,36.86,Los Angeles,Boston
4678,9,3016.92,5.75,249.11,San Diego,Colorado Springs
3973,24,2724.96,4.4,345.74,Tucson,Phoenix
9173,18,875.88,4.36,294.09,Seattle,Dallas
6169,8,1849.08,4.12,262.88,Oklahoma City,Philadelphia
6666,10,97.32,6.72,9861.37,Washington,Boston
8288,15,778.56,3.57,541.82,Austin,Chicago
8674,21,1459.8,6.34,660.89,Louisville,Columbus
5267,12,583.92,4.8,577.61,Seattle,Jacksonville
6322,10,3406.2,6.51,50.9,Los Angeles,Atlanta
4186,9,1654.44,6.49,213.83,Tulsa,Baltimore
6242,9,2724.96,5.16,307.68,Washington,Tampa
4275,20,1070.52,4.82,152.42,Albuquerque,Boston
2295,13,2627.64,6.5,366.39,San Antonio,Fresno
7922,19,1946.4,5.55,177.08,Tucson,Fort Worth
2435,2,3016.92,5.97,210.61,Columbus,Oakland
9954,18,389.28,4.84,1516.32,Columbus,San Jose
7873,10,486.6,4.41,341.05,Los Angeles,San Antonio
9379,12,2141.04,5.99,104.74,Miami,Washington
4599,5,1946.4,6.44,126.9,Portland,Minneapolis
5339,21,291.96,6.62,343.4,El Paso,Oklahoma City
1376,11,583.92,5.63,76.73,Omaha,Minneapolis
4294,2,583.92,5.67,1476.75,Nashville,Louisville
6033,17,2043.72,4.97,481.88,Fort Worth,Fresno
5950,3,778.56,6.24,1156.05,Louisville,Boston
7042,21,1265.16,6.09,760.97,Raleigh,Memphis
6283,2,2335.68,7.21,151.7,Tampa,Detroit
8587,16,2627.64,8.51,102.56,Jacksonville,Colorado Springs
5667,17,3308.88,5.05,227.67,Columbus,Tampa
1883,18,3503.52,5.58,215.47,Phoenix,Raleigh
4134,9,681.24,4.67,774.24,Miami,Arlington
6327,5,973.2,5.79,564.99,Fort Worth,Chicago
2592,16,1362.48,6.32,899.25,Sacramento,New Orleans
4798,23,1751.76,4.76,663.03,Fort Worth,Milwaukee
1359,19,4184.76,5.05,106.19,San Antonio,New Orleans
9961,7,1265.16,6.11,287.05,Portland,Colorado Springs
6753,10,291.96,6.28,821.52,Washington,Indianapolis
3869,20,97.32,5.42,1652.66,Indianapolis,San Francisco
4508,6,1946.4,7.35,44.49,Jacksonville,Albuquerque
6142,3,194.64,4.42,1502.39,Detroit,Portland
2184,14,973.2,5.0,1062.32,Portland,Sacramento
7950,18,194.64,6.39,3050.11,Jacksonville,San Jose
1848,5,389.28,3.28,2103.91,San Diego,Houston
8841,9,2724.96,5.64,300.48,Houston,Albuquerque
2630,10,194.64,5.04,979.88,Fresno,Albuquerque
2532,8,97.32,5.47,1510.37,Indianapolis,Seattle
2036,9,2919.6,3.61,28.63,Miami,Jacksonville
2402,9,583.92,5.57,726.94,Baltimore,Sacramento
2466,16,583.92,6.34,1152.65,Atlanta,Milwaukee
5202,9,3406.2,5.11,70.64,San Antonio,Miami
2719,4,389.28,4.22,614.69,Nashville,Denver
4649,17,875.88,4.91,1315.13,Arlington,Omaha
1259,6,1070.52,4.18,1079.68,Nashville,Fresno
9450,15,681.24,5.91,810.96,Jacksonville,Denver
5623,9,291.96,6.12,2017.02,Tucson,Baltimore
8298,7,97.32,5.46,10548.5,Jacksonville,Fort Worth
8722,3,3114.24,4.88,98.5,Tampa,San Francisco
7733,18,3211.56,4.95,70.79,San Francisco,Arlington
2213,19,2627.64,4.61,314.44,San Francisco,Long Beach
1372,12,97.32,4.88,7700.48,Fresno,Tucson
2147,21,1265.16,7.48,207.15,Tampa,Mesa
3655,24,486.6,5.24,988.19,San Antonio,Los Angeles
4685,16,4282.08,4.63,146.96,Tampa,Houston
4244,6,486.6,4.41,2307.09,Columbus,Dallas
8949,15,1751.76,4.72,326.61,Milwaukee,Arlington
6203,6,3114.24,5.32,315.81,Omaha,San Diego
9600,17,486.6,6.22,1441.45,San Antonio,Jacksonville
2367,18,2724.96,5.04,400.39,Fresno,Philadelphia
5180,19,875.88,6.17,356.67,Oklahoma City,San Francisco
3121,9,2141.04,4.99,289.8,Portland,Tampa
2125,15,2238.36,5.63,469.6,Jacksonville,Mesa
5492,22,2238.36,7.71,48.64,Charlotte,Kansas City
5755,20,1849.08,5.56,66.48,Raleigh,El Paso
4550,19,681.24,5.89,863.56,Colorado Springs,Minneapolis
2397,21,2238.36,5.03,589.39,Austin,Fresno
9450,11,1070.52,4.17,879.67,Albuquerque,Long Beach
2281,14,2433.0,4.14,481.43,Indianapolis,Miami
1484,14,2335.68,5.26,235.32,Nashville,Tulsa
9688,13,1459.8,6.3,301.52,Oklahoma City,Omaha
4872,13,1167.84,5.66,307.86,Detroit,Jacksonville
1765,20,486.6,4.36,537.1,Oklahoma City,Washington
1911,24,291.96,5.42,1931.82,Charlotte,Seattle
4625,6,3503.52,4.94,139.58,Austin,Tulsa
6336,19,2627.64,5.2,444.74,Washington,Tulsa
4958,6,3892.8,3.87,54.01,Phoenix,Oakland
8506,19,2141.04,6.95,386.46,San Jose,Albuquerque
9398,24,1362.48,5.84,299.9,Long Beach,Louisville
9384,22,4087.44,3.38,151.27,Virginia Beach,Los Angeles
9244,16,1654.44,5.58,585.58,Detroit,San Antonio
6647,7,1849.08,4.72,402.03,Portland,Oakland
2787,12,1459.8,4.4,202.97,Detroit,Colorado Springs
5022,17,3016.92,6.0,86.41,Philadelphia,Atlanta
9632,1,875.88,4.53,329.64,Portland,Indianapolis
8883,4,97.32,5.28,6762.44,Seattle,Denver
9125,18,1654.44,5.33,543.01,Las Vegas,San Jose
4905,21,681.24,6.69,1072.48,Fort Worth,Philadelphia
6148,21,875.88,5.4,75.88,Miami,Tucson
9915,2,291.96,5.33,3454.69,Sacramento,Colorado Springs
5565,5,2530.32,6.13,170.45,Chicago,Louisville
1785,24,1459.8,4.43,104.32,Portland,Raleigh
9662,15,973.2,5.72,395.33,Fresno,Virginia Beach
6372,24,2627.64,5.28,215.81,Virginia Beach,Indianapolis
9207,5,1654.44,5.03,321.07,Sacramento,Denver
7571,14,3600.84,5.57,40.82,Oakland,San Diego
5136,5,4574.04,6.5,242.18,Chicago,New Orleans
9839,15,97.32,5.18,1397.1,San Diego,Dallas
3210,12,4574.04,6.92,209.47,Chicago,New Orleans
4835,20,973.2,6.12,480.16,Indianapolis,Las Vegas
4961,9,2919.6,5.36,440.3,Washington,New Orleans
9597,23,389.28,5.14,740.7,Omaha,Sacramento
5096,12,486.6,6.09,587.62,Charlotte,San Jose
5869,18,1654.44,5.15,404.26,Milwaukee,Columbus
2296,13,1167.84,5.43,351.81,Houston,San Francisco
5837,15,1849.08,4.4,775.86,Portland,Oakland
5035,24,389.28,5.65,4611.01,Milwaukee,Mesa
5907,11,3016.92,6.12,279.98,Seattle,Arlington
3977,6,973.2,6.27,125.65,Oklahoma City,Mesa
3004,20,3114.24,7.35,96.98,Houston,Sacramento
8637,24,1070.52,5.1,103.29,Detroit,Mesa
2804,19,973.2,5.75,1129.17,Fort Worth,Nashville
6175,4,681.24,7.52,213.75,Boston,Memphis
2400,23,2141.04,4.54,637.51,Boston,Long Beach
6429,10,486.6,5.58,1414.58,Miami,Tulsa
6113,24,1849.08,4.28,364.3,Portland,San Antonio
5254,22,2919.6,5.31,164.77,Denver,Arlington
2707,23,778.56,4.48,1028.35,Indianapolis,Oklahoma City
8593,20,194.64,3.12,3246.85,Nashville,Oklahoma City
7841,19,486.6,5.53,1493.37,Omaha,Mesa
2267,11,2335.68,7.32,623.93,Baltimore,Philadelphia
4759,20,2141.04,5.75,70.2,Milwaukee,Dallas
7936,12,1265.16,4.53,233.77,Tucson,Washington
6993,23,681.24,5.19,1474.38,Houston,Austin
6333,5,681.24,4.44,1262.42,El Paso,Charlotte
8915,21,194.64,4.82,4357.08,Philadelphia,San Diego
8847,3,3016.92,6.57,94.3,Houston,Mesa
3268,6,486.6,5.95,1212.28,Virginia Beach,Arlington
5800,9,1557.12,5.24,492.43,Memphis,Virginia Beach
5758,14,1557.12,5.0,339.66,Raleigh,Oklahoma City
1989,5,4184.76,6.3,64.58,Houston,Tulsa
8768,15,486.6,5.42,1309.91,San Diego,Fort Worth
4405,15,1265.16,5.59,1011.27,San Diego,Boston
2961,15,486.6,4.83,396.75,Sacramento,Milwaukee
6764,8,291.96,6.02,2800.44,El Paso,Oklahoma City
9489,7,486.6,4.59,833.41,San Antonio,Los Angeles
9988,8,973.2,5.68,156.92,Louisville,Denver
9011,6,2627.64,4.59,116.37,Phoenix,Albuquerque
6323,11,1167.84,6.58,173.05,Dallas,Boston
7083,6,681.24,5.17,2575.9,Houston,Austin
5303,23,2043.72,5.99,251.84,Boston,Miami
9203,22,1265.16,5.45,55.64,Portland,Colorado Springs
1611,4,778.56,7.06,388.63,Kansas City,Minneapolis
8006,5,194.64,4.35,5129.63,Kansas City,Omaha
6544,13,4476.72,6.22,149.34,Arlington,Chicago
2811,15,1167.84,4.51,428.62,Seattle,Baltimore
1537,8,875.88,6.27,198.67,El Paso,Milwaukee
2465,13,778.56,4.67,507.09,Oklahoma City,Tucson
3421,20,97.32,6.65,3047.56,Columbus,Charlotte
9192,5,1654.44,6.0,382.28,Washington,Chicago
3209,1,681.24,5.12,404.7,San Jose,Indianapolis
8146,17,97.32,7.21,1950.93,El Paso,Boston
3932,17,1167.84,3.45,546.61,San Diego,Washington
4260,22,1070.52,5.48,437.34,Sacramento,Tulsa
1885,15,389.28,5.85,1308.21,Denver,Nashville
2384,21,2433.0,5.38,319.36,Louisville,Houston
7662,24,583.92,5.09,1332.39,Austin,Phoenix
4523,17,1362.48,5.9,371.3,El Paso,Sacramento
8305,1,291.96,5.2,745.72,San Antonio,Houston
6418,2,4087.44,5.46,274.21,Arlington,San Antonio
6682,21,486.6,4.24,474.47,Los Angeles,San Antonio
7900,6,97.32,3.36,2500.2,Charlotte,Columbus
6854,1,291.96,2.88,1744.73,Fort Worth,San Jose
5914,8,681.24,5.7,185.05,Louisville,Sacramento
2759,12,2433.0,5.91,129.74,Houston,Louisville
8846,24,875.88,4.28,359.83,Kansas City,Louisville
9122,7,2724.96,6.87,116.68,El Paso,New Orleans
8759,23,2238.36,6.2,37.8,Albuquerque,Dallas
4945,23,1362.48,5.36,256.18,Fresno,Washington
4892,4,3211.56,4.77,58.49,Tampa,Charlotte
2079,16,1946.4,4.9,111.72,Albuquerque,Jacksonville
2402,16,1557.12,5.48,372.98,Fresno,Seattle
8895,13,1459.8,5.11,851.31,Milwaukee,San Francisco
4837,7,2919.6,5.25,319.09,Columbus,Virginia Beach
8593,15,681.24,4.96,728.76,Columbus,Boston
7332,10,1946.4,6.7,316.12,Mesa,Charlotte
1476,12,291.96,5.87,1843.02,Kansas City,Raleigh
5259,17,1751.76,7.28,148.75,San Antonio,Oklahoma City
3967,8,3406.2,6.65,23.31,Minneapolis,Austin
5134,6,2141.04,5.73,259.31,Los Angeles,Detroit
9166,18,2141.04,6.59,287.25,Raleigh,Denver
5223,24,2919.6,3.74,180.46,Tucson,Chicago
6969,15,2335.68,4.08,29.91,San Antonio,Milwaukee
4252,19,3600.84,7.11,202.1,Minneapolis,Dallas
1101,15,583.92,7.33,351.53,Omaha,Minneapolis
6889,18,583.92,6.46,346.35,Omaha,Minneapolis
7424,12,97.32,5.4,7773.88,San Francisco,Indianapolis
2115,24,2822.28,3.46,169.42,Kansas City,Dallas
4035,14,2433.0,4.67,73.97,Denver,Virginia Beach
8086,11,1362.48,5.45,399.73,Portland,Omaha
9557,21,194.64,6.41,9751.65,Colorado Springs,Raleigh
2237,13,1362.48,5.54,438.73,Boston,Mesa
5275,5,3698.16,5.62,31.94,Austin,Arlington
7121,9,1751.76,4.95,235.05,Louisville,Austin
6117,19,3114.24,4.72,147.21,San Antonio,Colorado Springs
1898,17,1070.52,4.09,138.41,Mesa,Minneapolis
8485,15,1362.48,7.41,197.86,Long Beach,Louisville
8341,14,973.2,7.89,502.45,Nashville,Fort Worth
8690,13,2433.0,6.46,79.43,Denver,Virginia Beach
8615,20,3795.48,5.96,135.86,Los Angeles,Raleigh
9150,24,875.88,4.13,542.39,El Paso,Fort Worth
7308,11,973.2,5.02,422.87,Detroit,Fresno
1753,20,2433.0,4.18,396.68,Albuquerque,San Antonio
4812,3,3795.48,7.37,165.96,New Orleans,Austin
6157,4,3892.8,5.32,109.2,Philadelphia,Minneapolis
5120,18,1751.76,6.54,88.66,Columbus,Albuquerque
9467,11,778.56,5.47,203.78,Seattle,San Jose
2189,20,3308.88,4.5,136.22,Tulsa,Fort Worth
5510,23,1167.84,6.64,744.72,Tucson,Oakland
8587,8,681.24,6.35,264.12,Portland,Denver
6037,4,875.88,5.65,419.98,Charlotte,Detroit
1112,24,3600.84,5.09,17.51,Oakland,San Diego
8907,12,681.24,6.03,136.01,Indianapolis,San Jose
2920,3,1849.08,4.53,175.42,Detroit,Long Beach
2139,13,875.88,7.68,376.51,Oklahoma City,San Francisco
4097,7,1946.4,5.89,217.13,Albuquerque,Jacksonville
1291,4,1459.8,3.81,51.55,Fresno,Denver
3802,21,3406.2,5.77,146.02,Miami,San Antonio
3824,4,973.2,5.45,264.78,El Paso,Albuquerque
6740,9,778.56,5.23,533.94,Phoenix,Fort Worth
2412,2,583.92,3.57,446.92,Arlington,Long Beach
5054,5,3600.84,6.55,96.54,Oakland,San Diego
1697,12,291.96,4.53,159.33,Tampa,Oakland
3915,21,1362.48,4.01,213.92,El Paso,Sacramento
7749,12,3308.88,3.83,266.38,Phoenix,Colorado Springs
2260,21,681.24,5.12,1935.62,Oklahoma City,Albuquerque
